resultCode,resultMsg,totalCount,pageNo,numOfRows,statNm,statId,chgerId,chgerType,addr,lat,lng,useTime,busiId,busiNm,busiCall,stat,statUpdDt,powerType,zcode,parkingFree,note,dong
,,,,,충남천안 목천2차부영아파트,EV005081,05,02,충청남도 천안시 동남구 목천읍 삼성5길 41,36.761318305,127.17810347,24시간 이용가능,EV,에버온,1661-7766,2,20221221165955,,44,Y,외부인 사용불가,목천읍
,,,,,충남천안 목천2차부영아파트,EV005081,06,02,충청남도 천안시 동남구 목천읍 삼성5길 41,36.761318305,127.17810347,24시간 이용가능,EV,에버온,1661-7766,2,20230102123436,,44,Y,외부인 사용불가,목천읍
,,,,,충남천안 고운라피네아파트 1,EV005934,01,02,충청남도 천안시 동남구 목천읍 성남로 35,36.770150958,127.20731295,24시간 이용가능,EV,에버온,1661-7766,2,20230117012651,,44,Y,외부인 사용불가,목천읍
,,,,,충남천안 고운라피네아파트 1,EV005934,02,02,충청남도 천안시 동남구 목천읍 성남로 35,36.770150958,127.20731295,24시간 이용가능,EV,에버온,1661-7766,2,20230116010647,,44,Y,외부인 사용불가,목천읍
,,,,,충남천안 고운라피네아파트 1,EV005934,03,02,충청남도 천안시 동남구 목천읍 성남로 35,36.770150958,127.20731295,24시간 이용가능,EV,에버온,1661-7766,2,20230116221845,,44,Y,외부인 사용불가,목천읍
,,,,,충남천안 고운라피네아파트 2,EV005935,01,02,충청남도 천안시 동남구 목천읍 성남로 35,36.770150958,127.20731295,24시간 이용가능,EV,에버온,1661-7766,2,20230116062431,,44,Y,외부인 사용불가,목천읍
,,,,,충남천안 고운라피네아파트 2,EV005935,02,02,충청남도 천안시 동남구 목천읍 성남로 35,36.770150958,127.20731295,24시간 이용가능,EV,에버온,1661-7766,2,20230109015656,,44,Y,외부인 사용불가,목천읍
,,,,,충남천안 성거벽산1(B1),EV006822,01,02,충청남도 천안시 서북구 성거읍 봉주로 107-6,36.878686444,127.15747796,24시간 이용가능,EV,에버온,1661-7766,2,20221221165910,,44,Y,외부인 사용불가,성거읍
,,,,,충남천안 성거벽산1(B1),EV006822,02,02,충청남도 천안시 서북구 성거읍 봉주로 107-6,36.878686444,127.15747796,24시간 이용가능,EV,에버온,1661-7766,2,20221221165756,,44,Y,외부인 사용불가,성거읍
,,,,,충남천안 성거벽산2(B1),EV006823,01,02,충청남도 천안시 서북구 성거읍 봉주로 107-6,36.878686444,127.15747796,24시간 이용가능,EV,에버온,1661-7766,2,20221221170045,,44,Y,외부인 사용불가,성거읍
